,codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_sub_cuenca,cantidad_observaciones,fecha,caudal,gauge_id,gauge_name,precip_promedio,temp_max_promedio
31,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1964-02-07 00:00:00+00:00,23.0,4540001,Rio Grande En Paloma 1,0.0,
32,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1965-08-19 00:00:00+00:00,77.0,4540001,Rio Grande En Paloma 1,0.0,21.5
33,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1965-09-05 00:00:00+00:00,51.2,4540001,Rio Grande En Paloma 1,0.0,20.5
34,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1965-10-06 00:00:00+00:00,56.9,4540001,Rio Grande En Paloma 1,0.0,22.0
35,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1965-10-15 00:00:00+00:00,81.9,4540001,Rio Grande En Paloma 1,0.0,20.5
36,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1965-12-21 00:00:00+00:00,50.4,4540001,Rio Grande En Paloma 1,0.0,28.5
37,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1966-02-04 00:00:00+00:00,11.8,4540001,Rio Grande En Paloma 1,0.0,25.0
38,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1966-03-23 00:00:00+00:00,3.43,4540001,Rio Grande En Paloma 1,0.0,27.5
39,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1966-04-11 00:00:00+00:00,2.75,4540001,Rio Grande En Paloma 1,0.0,21.0
40,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1966-07-29 00:00:00+00:00,18.2,4540001,Rio Grande En Paloma 1,0.0,16.5
41,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1966-08-20 00:00:00+00:00,14.3,4540001,Rio Grande En Paloma 1,0.0,20.5
42,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1967-03-15 00:00:00+00:00,0.485,4540001,Rio Grande En Paloma 1,0.0,20.0
43,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1967-04-29 00:00:00+00:00,0.987,4540001,Rio Grande En Paloma 1,0.0,27.0
44,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1967-05-05 00:00:00+00:00,1.14,4540001,Rio Grande En Paloma 1,0.0,28.7000007629395
45,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1967-06-26 00:00:00+00:00,0.12,4540001,Rio Grande En Paloma 1,0.0,22.5499992370605
46,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1968-01-11 00:00:00+00:00,0.839,4540001,Rio Grande En Paloma 1,0.0,26.0
47,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1968-02-24 00:00:00+00:00,1.18,4540001,Rio Grande En Paloma 1,0.0,23.8999996185303
48,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1968-02-28 00:00:00+00:00,2.91,4540001,Rio Grande En Paloma 1,0.0,26.8666667938232
49,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1968-03-31 00:00:00+00:00,2.88,4540001,Rio Grande En Paloma 1,0.0,26.1000003814697
